0.01,8.01,-0.10,0.01
0.08,52.05,6.90,0.02
0.14,80.08,12.20,0.03
0.17,104.10,16.00,0.04
0.23,136.13,21.00,0.05
0.27,156.15,25.10,0.06
0.32,184.18,30.40,0.07
0.36,208.20,33.60,0.08
0.42,236.23,39.10,0.09
0.45,240.23,42.70,0.10
0.51,284.28,47.60,0.11
0.56,300.29,53.00,0.12
0.60,320.31,55.90,0.13
0.66,368.36,61.30,0.14
0.70,388.38,65.00,0.15
0.75,404.39,70.60,0.16
0.79,440.43,73.70,0.17
0.84,456.45,79.00,0.18
0.88,492.48,82.60,0.19
0.94,512.50,87.60,0.20
0.98,544.53,91.30,0.21
1.03,564.55,97.00,0.22
1.09,592.58,101.80,0.23
1.13,624.61,105.30,0.24
1.18,648.63,110.90,0.25
1.22,676.66,114.10,0.26
1.28,700.68,119.30,0.27
1.31,728.71,122.80,0.28
1.37,752.74,128.10,0.29
1.41,776.76,131.20,0.30
1.47,808.79,137.20,0.31
1.52,840.82,141.90,0.32
1.56,856.84,146.30,0.33
1.61,892.87,151.00,0.34
1.65,908.89,155.00,0.35
1.71,940.92,160.30,0.36
1.75,960.94,163.60,0.37
1.80,992.97,168.80,0.38
1.84,1012.99,172.40,0.39
1.90,1045.02,177.90,0.40
1.93,1065.04,180.30,0.41
1.99,1097.07,186.40,0.42
2.05,1125.10,191.80,0.43
2.08,1149.12,195.10,0.44
2.14,1181.15,199.40,0.45
2.17,1197.17,204.00,0.46
2.23,1229.20,209.40,0.47
2.27,1249.22,213.10,0.48
2.33,1277.25,217.70,0.49
2.36,1301.27,221.10,0.50
2.42,1329.30,227.20,0.51
2.47,1361.33,231.30,0.52
2.51,1381.35,235.30,0.53
2.57,1413.38,240.20,0.54
2.60,1429.40,243.30,0.55
2.66,1461.43,249.40,0.56
2.69,1481.45,252.40,0.57
2.75,1513.48,257.40,0.58
2.79,1529.49,260.90,0.59
2.84,1565.53,266.90,0.60
2.88,1561.53,269.90,0.61
2.93,1617.58,275.60,0.62
2.99,1625.59,280.60,0.63
3.03,1641.60,283.70,0.64
3.08,1697.66,289.40,0.65
3.12,1697.66,292.60,0.66
3.18,1745.70,297.30,0.67
3.21,1749.71,300.10,0.68
3.27,1797.76,306.20,0.69
3.31,1805.76,309.70,0.70
3.36,1845.80,315.10,0.71
3.42,1865.82,319.70,0.72
3.45,1897.85,323.10,0.73
3.51,1917.87,328.30,0.74
3.54,1945.90,331.40,0.75
3.60,1965.92,336.80,0.76
3.64,1997.95,340.40,0.77
3.69,2021.97,346.20,0.78
3.73,2046.00,348.30,0.79
3.78,2078.03,353.30,0.80
3.82,2098.05,356.80,0.81
3.87,2122.07,363.10,0.82
3.93,2150.10,367.60,0.83
3.96,2178.13,371.10,0.84
4.02,2202.15,376.40,0.85
4.06,2226.17,379.80,0.86
4.10,2258.21,385.20,0.87
4.10,2274.22,388.40,0.88
4.10,2302.25,393.10,0.89
4.10,2326.27,396.10,0.90
4.10,2350.30,401.50,0.91
4.10,2386.33,408.00,0.92
4.10,2402.35,410.80,0.93
4.10,2434.38,415.80,0.94
4.10,2450.39,419.40,0.95
4.10,2482.42,424.20,0.96
4.10,2498.44,427.50,0.97
4.10,2530.47,432.90,0.98
4.10,2550.49,435.40,0.99
4.10,2578.52,439.60,1.00
